Designator;Footprint;Quantity;Comment;LCSC;Description;
R5,R16,R12,R4,R7,R17,R18,R6,R15,R10,R9,R14,R13,R8;R0603;14;100;C22775;1/10W Thick Film Resistors 75V ±1% ±200ppm/℃ -55℃~+155℃ 100Ω 0603  Chip Resistor - Surface Mount ROHS;
R51;R0603;1;330;C23138;1/10W Thick Film Resistors 75V ±1% ±100ppm/℃ -55℃~+155℃ 330Ω 0603  Chip Resistor - Surface Mount ROHS;
R11,R1,R3,R55,R2,R23;R0603;6;1.0k;C21190;1/10W Thick Film Resistors 75V ±1% ±100ppm/℃ -55℃~+155℃ 1kΩ 0603  Chip Resistor - Surface Mount ROHS;
R54,R24,R47,R29,R48,R56;R0603;6;100k;C25803;1/10W Thick Film Resistors 75V ±1% ±100ppm/℃ -55℃~+155℃ 100kΩ 0603  Chip Resistor - Surface Mount ROHS;
C3,C5,C27,C11,C31,C26,C23,C28,C4,C20,C18,C2,C1,C7;C0603;14;100n;C14663;50V 100nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS;
C22,C21;C0603;2;100p;C14858;50V 100pF C0G ±5% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS;
R22,R33,R27;R0603;3;10k;C108449;100mW Thick Film Resistors 75V ±100ppm/℃ ±1% -55℃~+155℃ 10kΩ 0603  Chip Resistor - Surface Mount ROHS;
C24;PANASONIC_B;1;10u;C134218;2000hrs@105℃ -45℃~+105℃ 10uF 5.8mm 16V 4mm ±20% SMD,4x5.8mm  Aluminum Electrolytic Capacitors - SMD ROHS;
R39;R0603;1;120k;C25808;1/10W Thick Film Resistors 75V ±1% ±100ppm/℃ -55℃~+155℃ 120kΩ 0603  Chip Resistor - Surface Mount ROHS;
C9,C10;C0603;2;18p;C1647;50V 18pF C0G ±5% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS;
C14,C13,C17,C16;C0603;4;1n;C1588;50V 1nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS;
D2,D1;SOD123;2;1N5819HW;C82544;40V 450mV@1A 1A SOD-123  Schottky Barrier Diodes (SBD) ROHS;
C6,C12;C0603;2;1u;C15849;50V 1uF X5R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS;
R28,R32,R40;R0603;3;200k;C332260;100mW Thin Film Resistor 75V ±25ppm/℃ ±0.1% -55℃~+155℃ 200kΩ 0603  Chip Resistor - Surface Mount ROHS;
C15,C19;PANASONIC_C;2;22u;C128468;-40℃~+105℃ 2000hrs@105℃ 22uF 5.8mm 16V 5mm ±20% SMD,5x5.8mm  Aluminum Electrolytic Capacitors - SMD ROHS;
R43,R35,R34,R30,R52,R50,R41,R31,R42,R44,R53;R0603;11;24.9k;C25962;1/10W Thick Film Resistors 75V ±1% ±100ppm/℃ -55℃~+155℃ 24.9kΩ 0603  Chip Resistor - Surface Mount ROHS;
R46,R45;R0603;2;39k;C23153;1/10W Thick Film Resistors 75V ±1% ±100ppm/℃ -55℃~+155℃ 39kΩ 0603  Chip Resistor - Surface Mount ROHS;
R49;R1206;1;4.7;C17937;1/4W Thick Film Resistors 200V ±1% ±200ppm/℃ -55℃~+155℃ 4.7Ω 1206  Chip Resistor - Surface Mount ROHS;
C8;C0603;1;470n;C1623;25V 470nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS;
C29;C0603;1;47p;C1671;50V 47pF C0G ±5% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS;
C25,C30;PANASONIC_D;2;47u;C249976;2000hrs@105℃ -45℃~+105℃ 47uF 5.8mm 25V 6.3mm ±20% SMD,6.3x5.7mm  Aluminum Electrolytic Capacitors - SMD ROHS;
R26,R25;R0603;2;49.9k;C23184;1/10W Thick Film Resistors 75V ±1% ±100ppm/℃ -55℃~+155℃ 49.9kΩ 0603  Chip Resistor - Surface Mount ROHS;
IC2,IC1;SO16;2;74595D;C5947;SOIC-16_150mil  Registers ROHS;
Q5;HC49UP;1;8MHz;C12674;8MHz 49SMD 20pF ±20ppm ±30ppm -20℃~+70℃ HC-49S/SMD  Crystals ROHS;
IC5;MSOP-8;1;DAC8531;C57186;Voltage-Buffered 16 1 SPI,DSP MSOP-8  Digital To Analog Converters (DACs) ROHS;
UC1;LQFP48;1;STM32F103CBT6;C8304;20KB 128K@x8bit 2V~3.6V -40℃~+85℃ ARM Cortex-M3 1@x10ch/12bit Internal oscillator included  72MHz 37 LQFP-48_7x7x05P  Microcontroller Units (MCUs/MPUs/SOCs) ROHS;
IC6;TO252;1;LM1117-3.3;C126023;75dB@(120Hz) 1A 1.3V@(1A) Fixed 3.3V~3.3V Positive 1 12V TO-252-2(DPAK)  Linear Voltage Regulators (LDO) ROHS;
IC8;DBZ_R-PDSO-G3;1;LM4040B10;C129965;10V -40℃~+85℃@(TA) ±0.1% 103μA 15mA 100ppm/℃ Fixed SOT-23(SOT-23-3)  Voltage References ROHS;
IC3;DBZ_R-PDSO-G3;1;LM4040B25;C134019;2.5V -40℃~+85℃@(TA) ±0.5% 65μA 15mA 100ppm/℃ Fixed SOT-23(SOT-23-3)  Voltage References ROHS;
IC4;SOIC-16_3.9x9.9mm_P1.27mm;1;MCP3208;C16939;4,8 Pseudo-Differential, Single Ended 12 100K SOIC-16_150mil  Analog To Digital Converters (ADCs) ROHS;
IC7;SO14;1;MCP6004;C116668;0.6 V/us 4 1MHz 1.8V ~ 6V General Purpose TSSOP-14  Operational Amplifier ROHS;
Q1,Q3,Q2,Q4,Q6;SOT23-BEC;5;MMBT3904;C20526;40V 200mW 200mA 100@10mA,1V 300MHz 300mV@50mA,5mA NPN +150℃@(Tj) SOT-23(SOT-23-3)  Bipolar Transistors - BJT ROHS;
IC10;SO08;1;TL072;C6961;2.5mA 16 V/us 2 4MHz J-FET 6V ~ 36V, ±3V ~ 18V SOIC-8_150mil  FET InputAmplifiers ROHS;
IC9;SO14;1;TL074D;C12594;1.4mA 13 V/us 4 3MHz J-FET 7V~36V,±3.5V~18V SOIC-14_150mil  FET InputAmplifiers ROHS;
