Comment,Designator,Footprint,LCSC
39k,R12,R0603,
100n,C21,C0603,
TL072D,IC5,SO08,
100n,C12,C0603,
PJ301_THONKICONN6,J1,WQP_PJ_301M6,
18p,C17,C0603,
39k,R17,R0603,
STM32F103CB,UC1,LQFP48,
10k,R16,R0603,
680,R10,R0603,
100,R4,R0603,
100k,R27,R0603,
LED3MM,LED4,LED3MM,
FIDUCIAL1X2,F4,FIDUCIAL-1X2,
FIDUCIAL1X2,F2,FIDUCIAL-1X2,
249k,R29,R0603,
100n,C3,C0603,
100n,C10,C0603,
LED3MM,LED3,LED3MM,
EVQQ2,SW3,k2-1808 pushbutton switch,
EVQQ2,SW5,k2-1808 pushbutton switch,
PJ301_THONKICONN6,J2,WQP_PJ_301M6,
100,R7,R0603,
100n,C24,C0603,
100n,C8,C0603,
LED3MM,LED2,LED3MM,
22u,C2,PANASONIC_C,
309k,R19,R0603,
18p,C23,C0603,
220p,C19,C0603,
FIDUCIAL1X2,F1,FIDUCIAL-1X2,
100k,R15,R0603,
LED3MM,LED1,LED3MM,
SW_Push_LED,SW7,C&K_D6R,
WE-CBF_0603,L1,0603,
18p,C7,C0603,
470n,C22,C0603,
22u,C1,PANASONIC_C,
LM4041DBZ,IC2,DBZ_R-PDSO-G3,
1.0k,R31,R0603,
1N5819HW,D2,SOD123,
10k,R28,R0603,
220p,C15,C0603,
1.0k,R20,R0603,
TAC_SWITCHPTH,SW2,TACTILE-PTH,
REG1117,IC1,SOT223,
1N5819HW,D1,SOD123,
470n,C11,C0603,
SW_Push_LED,SW8,C&K_D6R,
18p,C6,C0603,
39k,R22,R0603,
100n,C18,C0603,
DAC8552,IC3,MSOP-8,
MMBT3904,Q3,SOT23-BEC,
249k,R18,R0603,
8MHz,Q1,HC49UP,
10kB,R21,ALPS_POT_VERTICAL_PS,
100,R2,R0603,
220p,C14,C0603,
LM4041DBZ,IC6,DBZ_R-PDSO-G3,
39k,R26,R0603,
10kB,R11,ALPS_POT_VERTICAL_PS,
100n,C9,C0603,
LED3MM,LED5,LED3MM,
680,R23,R0603,
220p,C20,C0603,
22u,C4,PANASONIC_C,
309k,R30,R0603,
10kB,R1,ALPS_POT_VERTICAL_PS,
TAC_SWITCHPTH,SW1,TACTILE-PTH,
10k,R3,R0603,
39k,R24,R0603,
FIDUCIAL1X2,F3,FIDUCIAL-1X2,
PJ301_THONKICONN6,J4,WQP_PJ_301M6,
3.3k,R25,R0603,
39k,R14,R0603,
100,R6,R0603,
3.3u,C13,C0603,
100n,C5,C0603,
100n,C16,C0603,
PJ301_THONKICONN6,J3,WQP_PJ_301M6,
MMBT3904,Q2,SOT23-BEC,
100,R8,R0603,
10k,R13,R0603,
TL072D,IC4,SO08,
3.3k,R9,R0603,
10kB,R5,ALPS_POT_VERTICAL_PS,
M05X2MINIJTAG,JP2,2X5-1.27,
M06SIP,JP1,1X06,
M05X2PTH,JP3,AVR_ICSP,
